parent_asin,estimated_rating,title_y
B000CJA3YW,5.0,"Hands Free Wearable Electric Breast Pump with Massage and Sucking Modes, 5 Levels, Silicone Material, 800mAh Battery, Painless and Ultra-Quiet for Breast Milk Collection 24mm"
B002K3APZ0,5.0,Tie Guang Yin Tea 125g (Gift Box)
B002K66ACO,5.0,Yuexi Cuilan (Yuexi Green Orchid Tea) - Organic Green Tea 10 Tea Bag 30g
B002K72K3G,5.0,Yuexi Cuilan (Yuexi Green Orchid Tea) - Super Gift 2 Pack 1 KG
B002K79UC0,5.0,China Premium Huang Shan Mao Feng Fur Peak Green Tea
B002OIFHYA,5.0,1st Grade Huangshang Maofeng Meidi Green Tea 50g Gift Tin
B002T9JJNY,5.0,NingHong New-Effect Slimming Diet weightloss Drinking Tea 60g 20 Tea Bags
B002TDPBNC,5.0,Premium Liuan Guapian Green Tea 250g Gift Pack
B002TDWDGU,5.0,Taiping Houkui Green Tea 250g Gift Tin by A2AWorld Green Tea
B005IRN7S2,5.0,"Bulk Herbs: Clay, Sea"
B006JIM8N4,5.0,"North American Herb and Spice Mineral Supplement Purely-Min, 5 Ounce"
B0080I5LCQ,5.0,Green Shamrock Rosary
B00CZS67BQ,5.0,Beyond Tangy Tangerine Youngevity Liquid Multivitamin Mineral Complex 420g Canister (Ships Worldwide)
B00GOENZSU,5.0,Indio Products Horseshoe Oil 1/2 fl. oz.
B00HL98UAA,5.0,"Metal Earth 3D Laser Cut Model - 4 Star War in Set: R2-D2, Millennium Falcon, At-At and TIE Fighter"
B00IWIFYQ2,5.0,"Life Partner, Soulmate Sand Crystal Grid - For helping you find and be with your life partner and soulmate."
B00IWISMBG,5.0,Finding My Soul?s Path Sand Crystal Grid - For helping you find and live your true soul?s path and purpose.
B00MIYNTU4,5.0,"Allivictus Tincture, 1.69 Fluid Ounce"
B00OZYHYKQ,5.0,Marilyn Monroe 16-Month 2015 Calendar
B00XQEMO0G,5.0,Ultimate EFA Omega Fatty Acid Blend (60 Soft Gels) by Youngevity
B01AJYDDVO,5.0,Adrenal Complex 180 capsules
B01CJWXHSS,5.0,"Whamisa Natural Fermentation Organic Flowers Toner, 4 fl oz (Organic Deep Rich)"
B01DRO84J4,5.0,"Handmade ORGONITE Flower of Life Pyramid Orgone Energy Generator for Healing and Harmony, with Baltic Amber and Crystal Quartz"
B01N5NJWA5,5.0,"Rubber Household Gloves, Reusable Long Latex Kitchen Cleaning Gloves, with Cotton Lining (Pink)"
B0733X13BS,5.0,"Larkspur Blue and White Reusable Fabric Gift Bag for Birthday, Wedding, Bridal Shower, or Any Occasion (Large 20 Inches Wide by 27 Inches High)"
B0741GG1KF,5.0,Trusted Nutrients Chlorella Broken Cell Wall Supplement | Green Superfood | Supports Gut Health | Rich Antioxidant Supplement | 600 mg 60 Vegetarian Capsules
B078JB4KGF,5.0,"Leyla Milani Hair - Glam'd up Mini Flat Iron with car charger, perfect for travel, vacation, business - Give it to Me Straight Flat Iron Car Charger Edition - msrp $99"
B079WLK8ZF,5.0,"[ANSWER NINETEEN+] Real Propolis Ampoule Special Set (Propolis 29ml + Vitamin 10ml + Tea Tree 10ml) – Propolis Extract 52%, Delivers nutrients & Moisture to Your Skin Deeply"
B079WM7K52,5.0,"[ANSWER NINETEEN+] Real Tea Tree Ampoule Special Set (Tea Tree 29ml + Vitamin 10ml + Propolis 10ml) – Tea Tree Extract 83%, Water-Soluble Hyaluronic Acid, Sooths & Vitalizes Your Skin"
B079WMZMCL,5.0,"[ANSWER NINETEEN+] Real Vitamin Ampoule Special Set (Vitamin 29ml+Propolis 10ml+Tea Tree 10ml) –Vitamin B3 5%, Vitamin B5 5%, Vitamin C Derivative 10% - Provides Vitality and Elasticity to Your Skin"
B07LGDXX92,5.0,Aveeno Shampoo Almond Oil Blend 12 Ounce (354ml) (6 Pack)
B07MH21XM9,5.0,SUERTREE Anti Blue Reading Glasses 3 Pack Yellow Tint Computer Glasses Men Women Comfort Anti Rays Fashion Eyewear BM162 (1.5X3PC)
B07XJGGJ5G,5.0,"Vegan Cla 4000MG Supports Weight Management, Lean Muscle 120 Vegetable softgels"
B08379Y8SF,5.0,Travel Portable Massager for Men Couple Prime Waterproof Massaging Device with Multiple Patterns (A)
B0883G8V19,5.0,"Toothbrush Heads For Philips Sonicare Toothbrush Replacement Electric Toothbrush Heads Compatible With Sonicare Toothbrush, 8 Pack"
B088YWRJ2C,5.0,ANYI16 1st Birthday Baby Photo Banner Newborn to 12 Months Glitter Photo Rope Banner with 12 Pack Latex Balloons for Baby Milestone Photo Decoration First Birthday Party Celebration (Silver)
B08B7WZC3H,5.0,"Skyfoot’s Silicone Gel Non-Slip Heel Cups Protector,Heel Cushion Insoles,for Plantar Fasciitis,Bone Spurs,Heel Pain Relief ,Shock Absorption, for Kids & Women & Men (1 Pair) (S)"
B08BTTWL12,5.0,Lion’s Mane Mushroom Extract 1100 mg - 30% Polysaccharides with Immunomodulating Properties. Provides Antioxidants to Fight Free radicals. Boost Memory & Cognition
B08CJN73DV,5.0,Forzagen Immunity Complex - 120 Capsules | Vitamin C | Zinc | Elderberry | Ginger | Immunity Shield
B08DXTL3L6,5.0,"BOJO Animal Kids Face Mask,4 Pack Cotton Children Face Cover (M:Age 7-14)"
B08K8J3X1X,5.0,Gift Bags
B08MQVGV6L,5.0,"IJONDA Unisex Sheep Wool Insoles Genuine Thick Sheepskin Warm (2Pair, Women 7)"
B08MQZ9L2T,5.0,"IJONDA Unisex Sheep Wool Insoles Genuine Thick Sheepskin Warm (2Pair, Women 10)"
B08MY6T43K,5.0,"Nutra Delight Chocolate Nutrition Powder - Dairy Free Chocolate Shake - Vegan, Vegetarian, Soy Free, Lactose Free | 20 Servings, 14.1oz"
B08Q2Y7VTV,5.0,"Weekly Pill Organizer 2 Times A Day, BUG HULL 7 Day AM PM Pill Case Push Button Pill Container Box for Vitamins, Fish Oils, Supplements"
